Name,Club,Nationality,Position,Age,Matches,Starts,Mins,Goals,Assists,Passes_Attempted,Perc_Passes_Completed,Penalty_Goals,Penalty_Attempted,xG,xA,Yellow_Cards,Red_Cards,,,
Mason Mount,Chelsea,ENG,"MF,FW",21,36,32,2890,6,5,1881,823,1,1,21,24,2,0,,,
Edouard Mendy,Chelsea,SEN,GK,28,31,31,2745,0,0,1007,846,0,0,0,0,2,0,,,
Timo Werner,Chelsea,GER,FW,24,35,29,2602,6,8,826,772,0,0,41,21,2,0,,,
Ben Chilwell,Chelsea,ENG,DF,23,27,27,2286,3,5,1806,786,0,0,1,11,3,0,,,
Reece James,Chelsea,ENG,DF,20,32,25,2373,1,2,1987,850,0,0,6,12,3,0,,,
César Azpilicueta,Chelsea,ESP,DF,30,26,24,2188,1,2,2015,875,0,0,3,11,5,1,,,
N'Golo Kanté,Chelsea,FRA,MF,29,30,24,2146,0,2,1504,866,0,0,4,5,7,0,,,
Jorginho,Chelsea,ITA,MF,28,28,23,2010,7,1,1739,895,7,9,31,9,2,0,,,
Thiago Silva,Chelsea,BRA,DF,35,23,23,1935,2,0,1871,935,0,0,5,2,5,1,,,
Kurt Zouma,Chelsea,FRA,DF,25,24,22,2029,5,0,1720,919,0,0,8,0,3,0,,,
Mateo Kovačić,Chelsea,CRO,MF,26,27,21,1815,0,1,1737,910,0,0,5,9,4,0,,,
Antonio Rüdiger,Chelsea,GER,DF,27,19,19,1710,1,0,1476,907,0,0,6,2,0,0,,,
Christian Pulisic,Chelsea,USA,"FW,MF",21,27,18,1738,4,2,690,800,0,0,28,14,2,0,,,
Kai Havertz,Chelsea,GER,"MF,FW",21,27,18,1520,4,3,765,861,0,0,37,9,2,0,,,
Andreas Christensen,Chelsea,DEN,DF,24,17,15,1371,0,0,1089,928,0,0,1,2,2,1,,,
Hakim Ziyech,Chelsea,MAR,"FW,MF",27,23,15,1172,2,3,734,747,0,0,15,28,3,0,,,
Tammy Abraham,Chelsea,ENG,FW,22,22,12,1040,6,1,218,683,0,0,56,7,0,0,,,
Marcos Alonso,Chelsea,ESP,DF,29,13,11,960,2,0,592,816,0,0,16,11,2,0,,,
Callum Hudson-Odoi,Chelsea,ENG,"FW,DF",19,23,10,1059,2,3,659,822,0,0,12,26,0,0,,,
Olivier Giroud,Chelsea,FRA,FW,33,17,8,748,4,0,217,742,0,0,58,9,1,0,,,
Kepa Arrizabalaga,Chelsea,ESP,GK,25,7,6,585,0,0,243,815,0,0,0,0,1,0,,,
Billy Gilmour,Chelsea,SCO,MF,19,5,3,261,0,0,215,893,0,0,1,4,0,0,,,
Willy Caballero,Chelsea,ARG,GK,38,1,1,90,0,0,26,923,0,0,0,0,0,0,,,
Ruben Loftus-Cheek,Chelsea,ENG,FW,24,1,1,60,0,0,16,688,0,0,0,0,0,0,,,
Emerson Palmieri,Chelsea,ITA,DF,25,2,0,90,0,0,63,810,0,0,0,0,0,0,,,
Fikayo Tomori,Chelsea,ENG,DF,22,1,0,45,0,0,29,931,0,0,0,0,0,0,,,
Ross Barkley,Chelsea,ENG,MF,26,2,0,42,0,0,26,846,0,0,6,16,0,0,,,
Ederson,Manchester City,BRA,GK,26,36,36,3240,0,1,1090,831,0,0,0,1,3,0,,,
Rúben Dias,Manchester City,POR,DF,23,32,32,2843,1,0,2671,936,0,0,7,0,4,0,,,
Rodri,Manchester City,ESP,MF,24,34,31,2748,2,2,2728,915,1,1,8,6,6,0,,,
Raheem Sterling,Manchester City,ENG,FW,25,31,28,2536,10,7,1127,854,0,1,43,17,4,0,,,
João Cancelo,Manchester City,POR,DF,26,28,27,2299,2,3,2094,857,0,0,8,19,5,1,,,
Bernardo Silva,Manchester City,POR,"MF,FW",25,26,24,2065,2,6,1427,897,0,0,12,16,5,0,,,
İlkay Gündoğan,Manchester City,GER,MF,29,28,23,2029,13,2,1707,910,1,2,4,2,1,0,,,
Kevin De Bruyne,Manchester City,BEL,MF,29,25,23,1997,6,12,1406,760,2,3,44,46,1,0,,,
Riyad Mahrez,Manchester City,ALG,FW,29,27,23,1949,9,6,1086,842,0,0,26,27,0,0,,,
Gabriel Jesus,Manchester City,BRA,FW,23,29,22,2063,9,4,754,846,0,0,38,15,2,0,,,
Kyle Walker,Manchester City,ENG,DF,30,24,22,1946,1,1,1897,894,0,0,1,2,1,0,,,
John Stones,Manchester City,ENG,DF,26,22,22,1933,4,0,1713,943,0,0,1,0,0,1,,,
Phil Foden,Manchester City,ENG,"FW,MF",20,28,17,1616,9,5,838,820,0,0,31,23,0,0,,,
Oleksandr Zinchenko,Manchester City,UKR,DF,23,20,15,1478,0,0,1475,902,0,0,4,8,0,0,,,
Ferrán Torres,Manchester City,ESP,"FW,MF",20,24,15,1306,7,2,442,814,0,0,37,13,1,0,,,
Aymeric Laporte,Manchester City,FRA,DF,26,16,14,1344,0,0,1261,920,0,0,5,5,1,0,,,
Fernandinho,Manchester City,BRA,MF,35,21,12,1188,0,2,1001,878,0,0,6,7,6,0,,,
Benjamin Mendy,Manchester City,FRA,DF,26,13,11,953,2,1,651,817,0,0,4,4,2,0,,,
Nathan Aké,Manchester City,NED,DF,25,10,9,797,1,0,755,930,0,0,1,0,4,0,,,
Sergio Agüero,Manchester City,ARG,"FW,MF",32,12,7,559,4,1,170,841,1,2,54,21,0,0,,,
Eric García,Manchester City,ESP,DF,19,6,3,383,0,0,344,936,0,0,3,2,0,0,,,
Scott Carson,Manchester City,ENG,GK,34,1,1,90,0,0,16,938,0,0,0,0,0,0,,,
Zack Steffen,Manchester City,USA,GK,25,1,1,90,0,0,28,821,0,0,0,0,0,0,,,
Liam Delap,Manchester City,ENG,FW,17,1,0,40,0,0,7,714,0,0,6,0,0,0,,,
Bruno Fernandes,Manchester United,POR,MF,25,37,35,3099,18,12,2283,746,9,10,45,32,6,0,,,
Aaron Wan-Bissaka,Manchester United,ENG,DF,22,34,34,3060,2,4,2065,860,0,0,3,7,3,0,,,
Harry Maguire,Manchester United,ENG,DF,27,34,34,3047,2,1,2139,890,0,0,6,1,11,0,,,
Marcus Rashford,Manchester United,ENG,FW,22,37,33,2920,11,9,1234,806,0,0,29,11,4,0,,,
Luke Shaw,Manchester United,ENG,DF,25,32,30,2654,1,5,2015,816,0,0,2,18,8,0,,,
Victor Lindelöf,Manchester United,SWE,DF,26,29,29,2585,1,1,1800,911,0,0,2,2,0,0,,,
Fred,Manchester United,BRA,MF,27,30,27,2390,1,0,1763,882,0,0,7,1,5,0,,,
David de Gea,Manchester United,ESP,GK,29,26,26,2295,0,0,594,771,0,0,0,0,0,0,,,
Scott McTominay,Manchester United,SCO,MF,23,32,24,2129,4,1,1270,873,0,0,9,4,3,0,,,
Paul Pogba,Manchester United,FRA,"MF,FW",27,26,21,1897,3,3,1343,828,0,0,1,1,3,0,,,
Mason Greenwood,Manchester United,ENG,FW,18,31,21,1822,7,2,732,831,0,0,37,9,2,0,,,
Anthony Martial,Manchester United,FRA,FW,24,22,17,1480,4,3,488,828,0,0,4,12,0,1,,,
Edinson Cavani,Manchester United,URU,FW,33,26,13,1375,10,3,343,787,0,0,48,17,4,0,,,
Dean Henderson,Manchester United,ENG,GK,23,13,12,1125,0,0,314,752,0,0,0,0,3,0,,,
Nemanja Matić,Manchester United,SRB,MF,31,20,12,1106,0,0,975,905,0,0,2,3,2,0,,,
Daniel James,Manchester United,WAL,FW,22,15,11,910,3,1,304,780,0,0,23,12,3,0,,,
Eric Bailly,Manchester United,CIV,DF,26,12,10,916,0,0,547,903,0,0,1,0,3,0,,,
Alex Telles,Manchester United,BRA,DF,27,9,8,690,0,2,570,805,0,0,2,15,0,0,,,
Juan Mata,Manchester United,ESP,"FW,MF",32,9,6,509,1,2,294,840,1,1,19,15,0,0,,,
Donny van de Beek,Manchester United,NED,"MF,FW",23,19,4,524,1,1,279,842,0,0,5,17,1,0,,,
Axel Tuanzebe,Manchester United,ENG,DF,22,9,4,404,0,0,263,897,0,0,0,0,2,0,,,
Brandon Williams,Manchester United,ENG,DF,19,4,2,188,0,0,140,857,0,0,5,1,0,0,,,
Amad Diallo,Manchester United,CIV,FW,18,3,2,166,0,1,64,844,0,0,2,26,0,0,,,
Anthony Elanga,Manchester United,SWE,FW,18,2,2,155,1,0,53,811,0,0,16,2,0,0,,,
Timothy Fosu-Mensah,Manchester United,NED,DF,22,1,1,80,0,0,75,867,0,0,3,31,1,0,,,
Shola Shoretire,Manchester United,ENG,FW,16,2,0,11,0,0,8,750,0,0,0,0,0,0,,,
Odion Ighalo,Manchester United,NGA,FW,31,1,0,10,0,0,1,1000,0,0,0,0,0,0,,,
Hannibal Mejbri,Manchester United,FRA,MF,17,1,0,9,0,0,3,1000,0,0,0,0,0,0,,,
William Thomas Fish,Manchester United,ENG,DF,17,1,0,1,0,0,1,0,0,0,0,0,0,0,,,
Andrew Robertson,Liverpool FC,SCO,DF,26,38,38,3383,1,7,3214,799,0,0,4,18,2,0,,,
Mohamed Salah,Liverpool FC,EGY,FW,28,37,34,3078,22,5,1288,832,6,6,61,18,0,0,,,
Trent Alexander-Arnold,Liverpool FC,ENG,DF,21,36,34,3031,2,7,2941,753,0,0,8,24,2,0,,,
Georginio Wijnaldum,Liverpool FC,NED,MF,29,38,34,2941,2,0,1747,933,0,0,1,5,1,0,,,
Alisson,Liverpool FC,BRA,GK,27,33,33,2970,1,0,1137,852,0,0,0,0,1,0,,,
